x0000,y0000
0,0.02459694452,
1,0.02692903407,
2,0.02137445887,
3,0.01135100074,
4,0.01598357185,
5,0.01078440339,
6,0.006616595136,
7,0.02256944444,
8,0.01686548745,
9,0.01573296633,
10,0.01231060606,
11,0.0145652892,
12,0.01174808347,
13,0.03100930455,
14,0.01908128863,
15,0.04591028427,
16,0.0007280763367,
17,0.02325957201,
18,0.003065759013,
19,0.01591981132,
20,0.0318287037,
21,0.01792114695,
22,0.0164524112,
23,0.02029675252,
24,0.01489946103,
25,0.02809205121,
26,0.03831282457,
27,0.009032000462,
28,0.007829520697,
29,0.02100626251,
30,0.01083237883,
31,0.0216162854,
32,0.01928560586,
33,0.01125107666,
34,0.06703012374,
35,0.1128611557,
36,0.07544141252,
37,0.1200533424,
38,0.2372136651,
39,0.3252304147,
40,0.2828947368,
41,0.2621556854,
42,0.2081634634,
43,0.1734549392,
44,0.1357567486,
45,0.1036833078,
46,0.1027942468,
47,0.05827505828,
48,0.06778105441,
49,0.01479521,
50,0.04513888889,
51,0.03217291409,
52,0.04639732901,
53,0.08753409776,
54,0.09551886792,
55,0.02587955651,
56,0.01074581784,
57,0.01247193814,
58,0.02091630267,
59,0.04698353792,
60,0.03497550103,
61,0.02104347068,
62,0.001093004769,
63,0.01157290722,
64,0.002065172271,
65,0.00657101721,
66,0.02022756005,
67,0.02329948532,
68,0.01521293883,
69,0.02688442818,
70,0.03004807692,
71,0.01370742967,
72,0.04527559055,
73,0.01474349865,
74,0.02199074074,
75,0.01015256164,
76,0.01096876097,
