x0000,y0000
168,-1.602172852e-06,
169,-5.302429199e-06,
170,-5.302429199e-06,
171,-5.302429199e-06,
172,-5.302429199e-06,
173,-5.302429199e-06,
174,-5.302429199e-06,
175,-5.302429199e-06,
176,-5.302429199e-06,
177,-5.302429199e-06,
178,-5.302429199e-06,
179,-5.302429199e-06,
180,-5.302429199e-06,
181,-5.302429199e-06,
182,-4.539489746e-06,
183,-4.539489746e-06,
184,-4.539489746e-06,
185,-4.539489746e-06,
186,-4.539489746e-06,
187,-4.539489746e-06,
188,-4.539489746e-06,
189,-4.539489746e-06,
190,-4.539489746e-06,
191,-4.539489746e-06,
192,-4.539489746e-06,
193,-4.539489746e-06,
194,-4.539489746e-06,
195,-3.356933594e-06,
196,-3.356933594e-06,
197,-3.356933594e-06,
198,-3.356933594e-06,
199,-3.356933594e-06,
200,-3.356933594e-06,
201,-3.356933594e-06,
202,-3.356933594e-06,
203,-3.356933594e-06,
204,-3.356933594e-06,
205,-3.356933594e-06,
206,-3.356933594e-06,
207,-3.356933594e-06,
208,-3.509521484e-06,
209,-3.509521484e-06,
210,-3.509521484e-06,
211,-3.509521484e-06,
212,-3.509521484e-06,
213,-3.509521484e-06,
214,-3.509521484e-06,
215,-3.509521484e-06,
216,-3.509521484e-06,
217,-3.509521484e-06,
218,-3.509521484e-06,
219,-3.509521484e-06,
220,-3.509521484e-06,
221,-3.433227539e-06,
222,-3.433227539e-06,
223,-3.433227539e-06,
224,-3.433227539e-06,
225,-3.433227539e-06,
226,-3.433227539e-06,
227,-3.433227539e-06,
228,-3.433227539e-06,
229,-3.433227539e-06,
230,-3.433227539e-06,
231,-3.433227539e-06,
232,-3.433227539e-06,
233,-3.433227539e-06,
234,-4.119873047e-06,
235,-4.119873047e-06,
236,-4.119873047e-06,
237,-4.119873047e-06,
238,-4.119873047e-06,
239,-4.119873047e-06,
240,-4.119873047e-06,
241,-4.119873047e-06,
242,-4.119873047e-06,
243,-4.119873047e-06,
244,-4.119873047e-06,
245,-4.119873047e-06,
246,-4.119873047e-06,
247,-3.58581543e-06,
248,-3.58581543e-06,
249,-3.58581543e-06,
250,-3.58581543e-06,
251,-3.58581543e-06,
252,-3.58581543e-06,
253,-3.58581543e-06,
254,-3.58581543e-06,
255,-3.58581543e-06,
256,-3.58581543e-06,
257,-3.58581543e-06,
258,-3.58581543e-06,
259,-3.58581543e-06,
260,-3.204345703e-06,
261,-3.204345703e-06,
262,-3.204345703e-06,
263,-3.204345703e-06,
264,-3.204345703e-06,
265,-3.204345703e-06,
266,-3.204345703e-06,
267,-3.204345703e-06,
268,-3.204345703e-06,
269,-3.204345703e-06,
270,-3.204345703e-06,
271,-3.204345703e-06,
272,-3.204345703e-06,
273,-2.822875977e-06,
