x0000,y0000
0,-4.348754883e-06,
1,-4.348754883e-06,
2,-4.348754883e-06,
3,-4.348754883e-06,
4,-4.348754883e-06,
5,-4.348754883e-06,
6,-4.348754883e-06,
7,-4.348754883e-06,
8,-4.348754883e-06,
9,-4.348754883e-06,
10,-4.348754883e-06,
11,-4.348754883e-06,
12,-4.8828125e-06,
13,-4.8828125e-06,
14,-4.8828125e-06,
15,-4.8828125e-06,
16,-4.8828125e-06,
17,-4.8828125e-06,
18,-4.8828125e-06,
19,-4.8828125e-06,
20,-4.8828125e-06,
21,-4.8828125e-06,
22,-4.8828125e-06,
23,-4.8828125e-06,
24,-4.8828125e-06,
25,-6.217956543e-06,
26,-6.217956543e-06,
27,-6.217956543e-06,
28,-6.217956543e-06,
29,-6.217956543e-06,
30,-6.217956543e-06,
31,-6.217956543e-06,
32,-6.217956543e-06,
33,-6.217956543e-06,
34,-6.217956543e-06,
35,-6.217956543e-06,
36,-6.217956543e-06,
37,-6.217956543e-06,
38,-5.645751953e-06,
39,-5.645751953e-06,
40,-5.645751953e-06,
41,-5.645751953e-06,
42,-5.645751953e-06,
43,-5.645751953e-06,
44,-5.645751953e-06,
45,-5.645751953e-06,
46,-5.645751953e-06,
47,-5.645751953e-06,
48,-5.645751953e-06,
49,-5.645751953e-06,
50,-5.645751953e-06,
51,-7.629394531e-06,
52,-7.629394531e-06,
53,-7.629394531e-06,
54,-7.629394531e-06,
55,-7.629394531e-06,
56,-7.629394531e-06,
57,-7.629394531e-06,
58,-7.629394531e-06,
59,-7.629394531e-06,
60,-7.629394531e-06,
61,-7.629394531e-06,
62,-7.629394531e-06,
63,-7.629394531e-06,
64,-8.46862793e-06,
65,-8.46862793e-06,
66,-8.46862793e-06,
67,-8.46862793e-06,
68,-8.46862793e-06,
69,-8.46862793e-06,
70,-8.46862793e-06,
71,-8.46862793e-06,
72,-8.46862793e-06,
73,-8.46862793e-06,
74,-8.46862793e-06,
75,-8.46862793e-06,
76,-8.46862793e-06,
77,-8.46862793e-06,
78,-1.205444336e-05,
79,-1.205444336e-05,
80,-1.205444336e-05,
81,-1.205444336e-05,
82,-1.205444336e-05,
83,-1.205444336e-05,
84,-1.205444336e-05,
85,-1.205444336e-05,
86,-1.205444336e-05,
87,-1.205444336e-05,
88,-1.205444336e-05,
89,-1.205444336e-05,
90,-1.205444336e-05,
91,-1.430511475e-05,
92,-1.430511475e-05,
93,-1.430511475e-05,
