
#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat	=
position	ref	signal	Time
-13900.0	0.00191824386369	-0.000134531960559	1512040239.35068	
-14000.0	0.00192740369199	-0.000123383023846	1512040240.5876582	
-14100.0	0.00190573621152	-0.00011559056524	1512040241.8376546	
-14200.0	0.00192384178959	-0.000117279508221	1512040243.064532	
-14300.0	0.00190410557078	-0.00010569284923	1512040244.294013	
-14400.0	0.00190410557078	-0.00010569284923	1512040245.5460925	
-14500.0	0.00192201984462	-9.80939722773e-05	1512040246.7809854	
-14600.0	0.00192526746152	-8.62936902402e-05	1512040248.0090349	
-14700.0	0.00190725753556	-9.53369140625e-05	1512040249.2458048	
-14800.0	0.00190603683244	-9.84497070312e-05	1512040250.5045457	
-14900.0	0.00192943516062	-0.000107849121094	1512040251.731928	
-15000.0	0.00192943516062	-0.000107849121094	1512040252.9564397	
-15100.0	0.001919011358	-0.000100179188287	1512040254.1815605	
-15200.0	0.00191326084422	-9.39945961112e-05	1512040255.4167976	
-15300.0	0.00188564699088	-7.64932205428e-05	1512040256.6750076	
-15400.0	0.00189719584451	-7.55013992537e-05	1512040257.9009624	
-15500.0	0.00189719584451	-7.55013992537e-05	1512040259.1560671	
-15600.0	0.00190939376603	-0.000106913552355	1512040260.380258	
-15700.0	0.00187322588109	-9.07501676189e-05	1512040261.6837687	
-15800.0	0.00190522151207	-9.716796875e-05	1512040262.908587	
-15900.0	0.00187912898277	-9.87854003906e-05	1512040264.1537135	
-16000.0	0.00189219916045	-0.000122344970703	1512040265.3772378	
-16100.0	0.00189219916045	-0.000122344970703	1512040266.6050558	

#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat	=
position	ref	signal	Time
-16200.0	0.00191040950035	-0.000119986462949	1512040275.3640876	
-16300.0	0.00187369730935	-0.000113432015946	1512040276.616809	
-16400.0	0.00184235074627	-0.00012818293785	1512040277.8506124	
-16500.0	0.00189770143424	-0.000116900543668	1512040279.1269403	
-16600.0	0.00191804344974	-0.000142351976082	1512040280.421313	
-16700.0	0.00191804344974	-0.000142351976082	1512040281.648174	
