
#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat	=
position	ref	signal	Time
2600.0	0.00163371071887	-6.65510946245e-06	1512043669.8645687	
2700.0	0.00163269042969	-5.88465448636e-06	1512043671.5843325	
2800.0	0.00168559060168	-9.03274763876e-06	1512043673.3233223	
2900.0	0.00172841541803	-9.55798021003e-06	1512043675.04106	
3000.0	0.00170125932836	-6.03331380816e-06	1512043676.7602277	
3100.0	0.00170746305096	-4.68672567339e-06	1512043678.4796464	
3200.0	0.00175974831652	-4.7873311968e-06	1512043680.2408266	
3300.0	0.00178019964873	-6.49642944336e-06	1512043681.949294	
3400.0	0.00172567339086	-5.12302455617e-06	1512043683.671861	
3500.0	0.00172902576959	-4.57370814992e-06	1512043685.388888	
3600.0	0.00172353716039	-6.51419340675e-06	1512043687.1072712	
3700.0	0.00169749245715	-4.21751790972e-06	1512043688.826525	
3800.0	0.00170268044543	-4.27593402009e-06	1512043690.5526204	
3900.0	0.00176117398846	-4.93359921583e-06	1512043692.273169	
4000.0	0.00174011230469	-5.39136288771e-06	1512043694.0149524	
4100.0	0.00175141291832	-5.38754819044e-06	1512043695.730761	
4200.0	0.00175202326988	-6.32465419485e-06	1512043697.4508545	
4300.0	0.00174123280084	-6.46557025055e-06	1512043699.169444	
4400.0	0.00177083940648	-7.79570394488e-06	1512043700.8875744	
4500.0	0.00181722612523	-5.92530663334e-06	1512043702.6071067	
4600.0	0.00173696489476	-6.04071545957e-06	1512043704.3401487	
4700.0	0.0017705342307	-5.89979940386e-06	1512043706.0586946	
4800.0	0.00177093961346	-6.28126913042e-06	1512043707.799538	
4900.0	0.00183055365264	-4.80868211433e-06	1512043709.5192838	
5000.0	0.00171915993762	-5.51343320021e-06	1512043711.237298	
5100.0	0.0018116327542	-5.59735654005e-06	1512043712.9559493	
5200.0	0.00177114458226	-5.59354184279e-06	1512043714.6916096	
5300.0	0.00173391769181	-4.87102679352e-06	1512043716.4115794	
5400.0	0.00170797319555	-3.96586176175e-06	1512043718.1469617	
5500.0	0.00175191850805	-4.42721238777e-06	1512043719.86324	
5600.0	0.00178609819555	-7.43319383308e-06	1512043721.583552	
5700.0	0.00174001665258	-9.28605492435e-06	1512043723.3018315	
5800.0	0.0017324350841	-6.27363973589e-06	1512043725.019874	
5900.0	0.00174632513701	-9.32801659427e-06	1512043726.7395403	
6000.0	0.00178081000029	-7.53118031061e-06	1512043728.47203	
6100.0	0.00177999467992	-1.18749248448e-05	1512043730.190089	
6200.0	0.00177033381676	-1.06046306553e-05	1512043731.9262328	
6300.0	0.00168304443359	-1.05792372974e-05	1512043733.6466696	
6400.0	0.00176198475396	-1.14313381821e-05	1512043735.3725457	
6500.0	0.00181946256267	-1.39691936436e-05	1512043737.09231	
