
#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat	=
position	ref	signal	Time
300.0	0.00182627663684	1.51221431903e-07	1512042637.616748	
600.0	0.00178203070342	6.18322571712e-08	1512042639.8164556	
900.0	0.00177190752172	2.17494679921e-07	1512042642.0180137	
1200.0	0.00178182573461	2.17722423041e-07	1512042644.2198591	
1500.0	0.00174937689482	9.25775784165e-08	1512042646.4210572	
1800.0	0.00174713590252	-3.7304323111e-07	1512042648.6220894	
2100.0	0.00173583984375	4.44099084655e-08	1512042650.8342083	
2400.0	0.00169474587512	2.83540184818e-07	1512042653.0358686	
2700.0	0.00168426513672	8.23291380014e-08	1512042655.2374656	
3000.0	0.00174113259387	-4.4751523146e-08	1512042657.4393508	
3300.0	0.00173808083605	4.03219194555e-07	1512042659.6409311	
3600.0	0.00172668912517	2.89006019706e-07	1512042661.84261	
3900.0	0.00168274381267	1.08064110599e-07	1512042664.044445	
4200.0	0.00171448209392	-1.11252514284e-07	1512042666.2462401	
4500.0	0.00165853016412	1.99844588095e-07	1512042668.447897	
4800.0	0.00173594460559	-2.61221359025e-07	1512042670.6494505	
5100.0	0.00169454546117	-4.23602203825e-08	1512042672.8512802	
5400.0	0.00173299305475	-1.16035119811e-07	1512042675.0524552	
5700.0	0.00172251687121	3.41614680504e-08	1512042677.2540703	
6000.0	0.00168355913305	2.58260698461e-07	1512042679.4552975	
6300.0	0.00167073719537	-1.8993776236e-07	1512042681.6568692	
6600.0	0.0016617914456	1.99616844974e-07	1512042683.8584282	
6900.0	0.00160217285156	2.12256588153e-07	1512042686.0600657	
7200.0	0.00161712646484	6.4451303055e-08	1512042688.2616832	
7500.0	0.00162292480469	1.05445064715e-07	1512042690.46309	
7800.0	0.00163899891412	5.46583488806e-08	1512042692.6648877	
8100.0	0.00156646728516	1.05217321595e-07	1512042694.8664238	

#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat	=
position	ref	signal	Time
300.0	0.00168273925781	1.31180037313e-07	1512042747.5393062	
600.0	0.00164428710938	-2.84109542619e-07	1512042747.9592702	
900.0	0.00164428710938	-2.84109542619e-07	1512042748.388488	
1200.0	0.00164428710938	-2.84109542619e-07	1512042748.7992978	
1500.0	0.00166779019939	8.77949728894e-08	1512042749.2171457	
1800.0	0.00166779019939	8.77949728894e-08	1512042749.6365006	
2100.0	0.00166779019939	8.77949728894e-08	1512042750.0551	
2400.0	0.00166779019939	8.77949728894e-08	1512042750.4740152	
2700.0	0.00171885476184	-5.18684956565e-07	1512042750.893464	
3000.0	0.00171885476184	-5.18684956565e-07	1512042751.3129191	
3300.0	0.00171885476184	-5.18684956565e-07	1512042751.7328653	
3600.0	0.00171885476184	-5.18684956565e-07	1512042752.1532156	
3900.0	0.00167226307428	1.91987450443e-07	1512042752.5727942	
4200.0	0.00167226307428	1.91987450443e-07	1512042752.9927452	
4500.0	0.00167226307428	1.91987450443e-07	1512042753.4139972	
4800.0	0.00173492887127	6.99171379431e-08	1512042755.6324522	
5100.0	0.00169698231256	1.79119964144e-07	1512042757.8521976	
5400.0	0.00172505848443	1.02826018832e-07	1512042760.0720222	
5700.0	0.00172668912517	1.66707964086e-07	1512042762.29075	
6000.0	0.00173197732043	1.53840477787e-07	1512042764.5104446	
6300.0	0.00175272927355	1.36645872202e-08	1512042766.7292447	
6600.0	0.00172556862902	1.4211170709e-07	1512042768.948963	
6900.0	0.00175059759795	2.48240001166e-08	1512042771.1697483	
7200.0	0.00173421831273	-2.22163413888e-07	1512042773.3885376	

#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat	=
position	ref	signal	Time
7500.0	0.00177084396135	8.6086899487e-08	1512042798.4466217	
7800.0	0.00177063443767	-3.21345542794e-07	1512042800.6665585	
8100.0	0.0017858977816	-4.96821617013e-07	1512042802.8853378	
8400.0	0.0017731760509	-6.42463342467e-07	1512042805.1053925	

#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat	=
position	ref	signal	Time
8700.0	0.0017795847423	-3.61405557661e-07	1512042817.8314803	
9000.0	0.00182933294951	-4.87859925227e-07	1512042820.0514987	
9300.0	0.00180497126793	-6.04350531279e-07	1512042822.2712343	
9600.0	0.00177887873863	-5.27430292386e-07	1512042824.491031	
9900.0	0.0018086766485	-4.476860388e-07	1512042826.7087765	
10200.0	0.00178101041424	-2.83574346286e-07	1512042828.9285192	
10500.0	0.00177093961346	-4.98905466564e-07	1512042831.148294	
10800.0	0.00179189653539	-3.46488383279e-07	1512042833.366053	
11100.0	0.00176442616021	-3.47809293377e-07	1512042835.5857894	
11400.0	0.0017451568148	-4.73352688462e-07	1512042837.806536	
11700.0	0.001735434461	-4.93860956448e-07	1512042840.0263221	
12000.0	0.00171530196916	-4.69845444409e-07	1512042842.2460775	
