
#$Filter:none
0.0	0.000119033813477	-1.904296875e-06	1511952854.5695949	
0.0	0.000119033813477	-1.904296875e-06	1511952855.0696194	
0.0	0.000119033813477	-1.904296875e-06	1511952855.569567	
0.0	0.000119033813477	-1.904296875e-06	1511952856.0700839	
0.0	0.000119033813477	-1.904296875e-06	1511952856.5696805	
0.0	0.000119033813477	-1.904296875e-06	1511952857.0701127	
0.0	0.000119033813477	-1.904296875e-06	1511952857.569592	
0.0	0.000119033813477	-1.904296875e-06	1511952858.1398592	
0.0	0.000119033813477	-1.904296875e-06	1511952858.5695965	
0.0	0.000121566772461	-1.85089111328e-06	1511952859.0695832	
0.0	0.000121566772461	-1.85089111328e-06	1511952859.5695932	
0.0	0.000121566772461	-1.85089111328e-06	1511952860.0696	
0.0	0.000121566772461	-1.85089111328e-06	1511952860.5959916	
0.0	0.000121566772461	-1.85089111328e-06	1511952861.069622	
0.0	0.000121566772461	-1.85089111328e-06	1511952861.5696168	
0.0	0.000121566772461	-1.85089111328e-06	1511952862.0696533	
0.0	0.000121566772461	-1.85089111328e-06	1511952862.6188989	
0.0	0.000121566772461	-1.85089111328e-06	1511952863.0696003	
0.0	0.000121566772461	-1.85089111328e-06	1511952863.5695899	
0.0	0.000121566772461	-1.85089111328e-06	1511952864.0695906	
0.0	0.000121566772461	-1.85089111328e-06	1511952864.5695956	
0.0	0.000121566772461	-1.85089111328e-06	1511952865.0695996	
0.0	0.00011897277832	-1.63192749023e-06	1511952865.56974	
0.0	0.00011897277832	-1.63192749023e-06	1511952866.0696046	
0.0	0.00011897277832	-1.63192749023e-06	1511952866.5696027	
0.0	0.00011897277832	-1.63192749023e-06	1511952867.0695639	
0.0	0.00011897277832	-1.63192749023e-06	1511952867.5695908	
0.0	0.00011897277832	-1.63192749023e-06	1511952868.0695872	
0.0	0.00011897277832	-1.63192749023e-06	1511952868.5697236	
0.0	0.00011897277832	-1.63192749023e-06	1511952869.0695615	
0.0	0.00011897277832	-1.63192749023e-06	1511952869.5697508	
0.0	0.00011897277832	-1.63192749023e-06	1511952870.0696478	
0.0	0.00011897277832	-1.63192749023e-06	1511952870.569598	
0.0	0.00011897277832	-1.63192749023e-06	1511952871.0695937	
0.0	0.00011897277832	-1.63192749023e-06	1511952871.5696015	
0.0	0.000120346069336	-1.5869140625e-06	1511952872.0697217	
0.0	0.000120346069336	-1.5869140625e-06	1511952872.5700634	
0.0	0.000120346069336	-1.5869140625e-06	1511952873.0697715	
0.0	0.000120346069336	-1.5869140625e-06	1511952873.569697	
0.0	0.000120346069336	-1.5869140625e-06	1511952874.0695984	
0.0	0.000120346069336	-1.5869140625e-06	1511952874.56985	
0.0	0.000120346069336	-1.5869140625e-06	1511952875.069597	
0.0	0.000120346069336	-1.5869140625e-06	1511952875.569587	
0.0	0.000120346069336	-1.5869140625e-06	1511952876.0696063	
0.0	0.000120346069336	-1.5869140625e-06	1511952876.5696127	
0.0	0.000120346069336	-1.5869140625e-06	1511952877.0695963	
0.0	0.000120346069336	-1.5869140625e-06	1511952877.5695984	
0.0	0.000120346069336	-1.5869140625e-06	1511952878.0695944	
0.0	0.000117813110352	-1.51443481445e-06	1511952878.5695896	
0.0	0.000117813110352	-1.51443481445e-06	1511952879.0695987	
0.0	0.000117813110352	-1.51443481445e-06	1511952879.5695586	
0.0	0.000117813110352	-1.51443481445e-06	1511952880.0695848	
0.0	0.000117813110352	-1.51443481445e-06	1511952880.569621	
