
#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat
position	ref	signal	Time
0.0	0.000109603881836	-3.99932861328e-07	1511956159.3882785	
0.0	0.000109603881836	-3.99932861328e-07	1511956159.8882885	
-89.0	0.000109603881836	-3.99932861328e-07	1511956160.388318	
-89.0	0.000109603881836	-3.99932861328e-07	1511956160.888829	
-200.0	0.000109603881836	-3.99932861328e-07	1511956161.3885386	
-200.0	0.000109603881836	-3.99932861328e-07	1511956161.888327	
-311.0	0.000109603881836	-3.99932861328e-07	1511956162.3882713	
-311.0	0.000109603881836	-3.99932861328e-07	1511956162.8888385	
-421.0	0.000109603881836	-3.99932861328e-07	1511956163.388316	
-421.0	0.000109603881836	-3.99932861328e-07	1511956163.8883052	
-532.0	0.000102188110352	-3.27301025391e-07	1511956164.3882816	
-532.0	0.000102188110352	-3.27301025391e-07	1511956164.8883166	
-532.0	0.000102188110352	-3.27301025391e-07	1511956165.3883214	
-643.0	0.000102188110352	-3.27301025391e-07	1511956165.88827	
-643.0	0.000102188110352	-3.27301025391e-07	1511956166.388317	
-754.0	0.000102188110352	-3.27301025391e-07	1511956166.8883145	
-754.0	0.000102188110352	-3.27301025391e-07	1511956167.388314	
-865.0	0.000102188110352	-3.27301025391e-07	1511956167.8882606	
-865.0	0.000102188110352	-3.27301025391e-07	1511956168.3883102	
-976.0	0.000102188110352	-3.27301025391e-07	1511956168.8884475	
-976.0	0.000102188110352	-3.27301025391e-07	1511956169.3883147	
-1086.0	0.000102188110352	-3.27301025391e-07	1511956169.8883145	
-1086.0	0.000102188110352	-3.27301025391e-07	1511956170.3887465	
-1086.0	0.000100952148437	-3.08990478516e-07	1511956170.8883142	
-1197.0	0.000100952148437	-3.08990478516e-07	1511956171.3887668	
-1197.0	0.000100952148437	-3.08990478516e-07	1511956171.8884828	
-1308.0	0.000100952148437	-3.08990478516e-07	1511956172.388318	
-1308.0	0.000100952148437	-3.08990478516e-07	1511956172.8883712	
-1419.0	0.000100952148437	-3.08990478516e-07	1511956173.3883138	
-1419.0	0.000100952148437	-3.08990478516e-07	1511956173.8883293	
