
#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat
position	ref	signal	Time
0.0	0.0019775390625	-4.59289550781e-05	1511965538.8386397	
19.0	0.0019775390625	-4.59289550781e-05	1511965539.3388085	
19.0	0.0019775390625	-4.59289550781e-05	1511965539.8385947	
130.0	0.0019775390625	-4.59289550781e-05	1511965540.3386197	
130.0	0.0019775390625	-4.59289550781e-05	1511965540.838618	
130.0	0.0019775390625	-4.59289550781e-05	1511965541.338598	
241.0	0.0019775390625	-4.59289550781e-05	1511965541.8385983	
241.0	0.0019775390625	-4.59289550781e-05	1511965542.338597	
352.0	0.0019775390625	-4.59289550781e-05	1511965542.838553	
352.0	0.0019775390625	-4.59289550781e-05	1511965543.338598	
463.0	0.0019775390625	-4.59289550781e-05	1511965543.838596	
463.0	0.0019775390625	-4.59289550781e-05	1511965544.3386002	
573.0	0.0019775390625	-4.59289550781e-05	1511965544.8386357	
573.0	0.00204315185547	-5.18035888672e-05	1511965545.3393826	
684.0	0.00204315185547	-5.18035888672e-05	1511965545.838674	
684.0	0.00204315185547	-5.18035888672e-05	1511965546.3386092	
684.0	0.00204315185547	-5.18035888672e-05	1511965546.8386245	
795.0	0.00204315185547	-5.18035888672e-05	1511965547.3385718	
795.0	0.00204315185547	-5.18035888672e-05	1511965547.83858	
906.0	0.00204315185547	-5.18035888672e-05	1511965548.3386416	
906.0	0.00204315185547	-5.18035888672e-05	1511965548.838702	
1017.0	0.00204315185547	-5.18035888672e-05	1511965549.3387303	
1017.0	0.00204315185547	-5.18035888672e-05	1511965549.8388903	
1128.0	0.00204315185547	-5.18035888672e-05	1511965550.3385923	
1128.0	0.00204315185547	-5.18035888672e-05	1511965550.8391304	
1239.0	0.00204315185547	-5.18035888672e-05	1511965551.3385966	
1239.0	0.00204238891602	-5.00030517578e-05	1511965551.8386803	
1239.0	0.00204238891602	-5.00030517578e-05	1511965552.338596	
1350.0	0.00204238891602	-5.00030517578e-05	1511965552.8389602	
1350.0	0.00204238891602	-5.00030517578e-05	1511965553.3387399	
1461.0	0.00204238891602	-5.00030517578e-05	1511965553.8386023	
1461.0	0.00204238891602	-5.00030517578e-05	1511965554.3385966	
1682.0	0.00204238891602	-5.00030517578e-05	1511965554.8385613	
1682.0	0.00204238891602	-5.00030517578e-05	1511965555.3385785	
1793.0	0.00204238891602	-5.00030517578e-05	1511965555.8385994	
1793.0	0.00204238891602	-5.00030517578e-05	1511965556.3385954	
1904.0	0.00204238891602	-5.00030517578e-05	1511965556.8385694	
1904.0	0.00204238891602	-5.00030517578e-05	1511965557.3385918	
1904.0	0.00204238891602	-5.00030517578e-05	1511965557.8389082	
2015.0	0.00196746826172	-3.95965576172e-05	1511965558.3385458	
2015.0	0.00196746826172	-3.95965576172e-05	1511965558.8390503	
2126.0	0.00196746826172	-3.95965576172e-05	1511965559.33887	
2126.0	0.00196746826172	-3.95965576172e-05	1511965559.8387341	
2237.0	0.00196746826172	-3.95965576172e-05	1511965560.3386059	
2237.0	0.00196746826172	-3.95965576172e-05	1511965560.838593	
2348.0	0.00196746826172	-3.95965576172e-05	1511965561.3385959	
2348.0	0.00196746826172	-3.95965576172e-05	1511965561.8386102	
2459.0	0.00196746826172	-3.95965576172e-05	1511965562.3385966	
2459.0	0.00196746826172	-3.95965576172e-05	1511965562.8386033	
2459.0	0.00196746826172	-3.95965576172e-05	1511965563.338602	
2459.0	0.00196746826172	-3.95965576172e-05	1511965563.8385842	
2459.0	0.00196746826172	-3.95965576172e-05	1511965564.3386216	
1279.0	0.00205963134766	-3.56903076172e-05	1511965564.8386025	
1279.0	0.00205963134766	-3.56903076172e-05	1511965565.3385649	

#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat
position	ref	signal	Time
2824.0	0.00196960449219	-2.56195068359e-05	1511965575.4985106	
2824.0	0.00196960449219	-2.56195068359e-05	1511965575.9985158	
2824.0	0.00196960449219	-2.56195068359e-05	1511965576.4985154	
2824.0	0.00196960449219	-2.56195068359e-05	1511965576.9985158	
2824.0	0.00196960449219	-2.56195068359e-05	1511965577.4985173	
1279.0	0.00195083618164	-2.69165039063e-05	1511965577.998528	
1279.0	0.00195083618164	-2.69165039063e-05	1511965578.4987507	
2443.0	0.00195083618164	-2.69165039063e-05	1511965578.9985256	
2443.0	0.00195083618164	-2.69165039063e-05	1511965579.4985995	
2332.0	0.00195083618164	-2.69165039063e-05	1511965579.998524	
2332.0	0.00195083618164	-2.69165039063e-05	1511965580.4986079	
2221.0	0.00195083618164	-2.69165039063e-05	1511965581.0009615	
2221.0	0.00195083618164	-2.69165039063e-05	1511965581.498595	
2221.0	0.00195083618164	-2.69165039063e-05	1511965581.9985127	
2111.0	0.00195083618164	-2.69165039063e-05	1511965582.4986303	
2111.0	0.00195083618164	-2.69165039063e-05	1511965582.9986582	
2000.0	0.00195083618164	-2.69165039063e-05	1511965583.4985232	
2000.0	0.00195083618164	-2.69165039063e-05	1511965583.9985209	
1889.0	0.00194549560547	-2.53601074219e-05	1511965584.498466	
1889.0	0.00194549560547	-2.53601074219e-05	1511965584.9985101	
1778.0	0.00194549560547	-2.53601074219e-05	1511965585.4985228	
1778.0	0.00194549560547	-2.53601074219e-05	1511965585.9985178	
1667.0	0.00194549560547	-2.53601074219e-05	1511965586.5010903	
1667.0	0.00194549560547	-2.53601074219e-05	1511965586.9986172	
1667.0	0.00194549560547	-2.53601074219e-05	1511965587.498679	
1556.0	0.00194549560547	-2.53601074219e-05	1511965587.9985125	
1556.0	0.00194549560547	-2.53601074219e-05	1511965588.498628	
1445.0	0.00194549560547	-2.53601074219e-05	1511965588.99852	
1445.0	0.00194549560547	-2.53601074219e-05	1511965589.4987109	
1334.0	0.00194549560547	-2.53601074219e-05	1511965589.9985294	
1334.0	0.00194549560547	-2.53601074219e-05	1511965590.4986653	
1223.0	0.00196990966797	-4.64935302734e-05	1511965590.9985182	
1223.0	0.00196990966797	-4.64935302734e-05	1511965591.498693	
1112.0	0.00196990966797	-4.64935302734e-05	1511965592.0009694	
1112.0	0.00196990966797	-4.64935302734e-05	1511965592.4986374	
1112.0	0.00196990966797	-4.64935302734e-05	1511965592.9989734	
1002.0	0.00196990966797	-4.64935302734e-05	1511965593.498671	
1002.0	0.00196990966797	-4.64935302734e-05	1511965593.9986742	
891.0	0.00196990966797	-4.64935302734e-05	1511965594.4985182	
891.0	0.00196990966797	-4.64935302734e-05	1511965594.9986567	
785.0	0.00196990966797	-4.64935302734e-05	1511965595.49849	
785.0	0.00196990966797	-4.64935302734e-05	1511965595.9985175	
674.0	0.00196990966797	-4.64935302734e-05	1511965596.4985313	
674.0	0.00196990966797	-4.64935302734e-05	1511965596.9989035	
563.0	0.00197082519531	-4.57000732422e-05	1511965597.5013297	
563.0	0.00197082519531	-4.57000732422e-05	1511965597.9985251	
563.0	0.00197082519531	-4.57000732422e-05	1511965598.4988112	
453.0	0.00197082519531	-4.57000732422e-05	1511965598.9985342	
453.0	0.00197082519531	-4.57000732422e-05	1511965599.4986658	
342.0	0.00197082519531	-4.57000732422e-05	1511965599.9984932	
342.0	0.00197082519531	-4.57000732422e-05	1511965600.4986365	
231.0	0.00197082519531	-4.57000732422e-05	1511965600.9985154	
231.0	0.00197082519531	-4.57000732422e-05	1511965601.498615	
